,Function Code,Function Description,Category Code,Category Description,Framework Requirement Code,Framework Requirement Description,Contextualized Framework Requirement Description
61,COMMUNICATE-P (CM-P),Develop and implement appropriate activities to enable organizations and individuals to have a reliable understanding and engage in a dialogue about how data are processed and associated privacy risks.,"Communication Policies, Processes, and Procedures (CM.PO-P)","Policies, processes, and procedures are maintained and used to increase transparency of the organization’s data processing practices (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment) and associated privacy risks.",CM.PO-P2,"Roles and responsibilities (e.g., public relations) for communicating data processing purposes, practices, and associated privacy risks are established.","Establish and delineate roles and responsibilities for communicating the purposes and practices of data processing, as well as the associated privacy risks, to enhance transparency and foster a reliable understanding among stakeholders, in alignment with organizational policies and commitments to privacy management."
62,COMMUNICATE-P (CM-P),Develop and implement appropriate activities to enable organizations and individuals to have a reliable understanding and engage in a dialogue about how data are processed and associated privacy risks.,Data Processing Awareness (CM.AW-P),"Individuals and organizations have reliable knowledge about data processing practices and associated privacy risks, and effective mechanisms are used and maintained to increase predictability consistent with the organization’s risk strategy to protect individuals’ privacy.",CM.AW-P1,"Mechanisms (e.g., notices, internal or public reports) for communicating data processing purposes, practices, associated privacy risks, and options for enabling individuals’ data processing preferences and requests are established and in place.","Establish and maintain mechanisms such as notices and reports to communicate data processing purposes, practices, associated privacy risks, and options for individuals to manage their data processing preferences and requests. This ensures that both organizations and individuals have a reliable understanding of data processing activities, enhancing predictability and alignment with the organization’s privacy risk strategy."
63,COMMUNICATE-P (CM-P),Develop and implement appropriate activities to enable organizations and individuals to have a reliable understanding and engage in a dialogue about how data are processed and associated privacy risks.,Data Processing Awareness (CM.AW-P),"Individuals and organizations have reliable knowledge about data processing practices and associated privacy risks, and effective mechanisms are used and maintained to increase predictability consistent with the organization’s risk strategy to protect individuals’ privacy.",CM.AW-P2,"Mechanisms for obtaining feedback from individuals (e.g., surveys or focus groups) about data processing and associated privacy risks are established and in place.","Establish and maintain mechanisms such as surveys or focus groups to gather feedback from individuals about data processing practices and associated privacy risks, ensuring reliable knowledge and dialogue consistent with the organization’s privacy risk strategy."
64,COMMUNICATE-P (CM-P),Develop and implement appropriate activities to enable organizations and individuals to have a reliable understanding and engage in a dialogue about how data are processed and associated privacy risks.,Data Processing Awareness (CM.AW-P),"Individuals and organizations have reliable knowledge about data processing practices and associated privacy risks, and effective mechanisms are used and maintained to increase predictability consistent with the organization’s risk strategy to protect individuals’ privacy.",CM.AW-P3,System/product/service design enables data processing visibility.,"Design and implement systems, products, or services to ensure transparency in data processing, enabling both organizations and individuals to understand and discuss how data are utilized and the associated privacy risks. This supports the objective of developing reliable knowledge about data processing practices, enhancing predictability in alignment with the organization’s privacy risk strategy, and fostering effective dialogue mechanisms to protect individual privacy."
65,COMMUNICATE-P (CM-P),Develop and implement appropriate activities to enable organizations and individuals to have a reliable understanding and engage in a dialogue about how data are processed and associated privacy risks.,Data Processing Awareness (CM.AW-P),"Individuals and organizations have reliable knowledge about data processing practices and associated privacy risks, and effective mechanisms are used and maintained to increase predictability consistent with the organization’s risk strategy to protect individuals’ privacy.",CM.AW-P4,Records of data disclosures and sharing are maintained and can be accessed for review or transmission/disclosure.,"Maintain and provide access to records of data disclosures and sharing to enhance transparency and accountability, ensuring that both organizations and individuals have a reliable understanding of data processing practices and associated privacy risks, thereby supporting a dialogue consistent with the organization’s privacy risk strategy."
66,COMMUNICATE-P (CM-P),Develop and implement appropriate activities to enable organizations and individuals to have a reliable understanding and engage in a dialogue about how data are processed and associated privacy risks.,Data Processing Awareness (CM.AW-P),"Individuals and organizations have reliable knowledge about data processing practices and associated privacy risks, and effective mechanisms are used and maintained to increase predictability consistent with the organization’s risk strategy to protect individuals’ privacy.",CM.AW-P5,"Data corrections or deletions can be communicated to individuals or organizations (e.g., data sources) in the data processing ecosystem.","Ensure mechanisms are in place to communicate corrections or deletions of data to relevant individuals or organizations within the data processing ecosystem, enhancing transparency and predictability in data handling practices consistent with the organization’s privacy risk strategy, thereby supporting reliable understanding and dialogue about data processing and associated privacy risks."
67,COMMUNICATE-P (CM-P),Develop and implement appropriate activities to enable organizations and individuals to have a reliable understanding and engage in a dialogue about how data are processed and associated privacy risks.,Data Processing Awareness (CM.AW-P),"Individuals and organizations have reliable knowledge about data processing practices and associated privacy risks, and effective mechanisms are used and maintained to increase predictability consistent with the organization’s risk strategy to protect individuals’ privacy.",CM.AW-P6,Data provenance and lineage are maintained and can be accessed for review or transmission/disclosure.,"Maintain and ensure accessibility of data provenance and lineage to support a reliable understanding of data processing practices and privacy risks, thereby enhancing dialogue and predictability in alignment with the organization's privacy risk strategy."
68,COMMUNICATE-P (CM-P),Develop and implement appropriate activities to enable organizations and individuals to have a reliable understanding and engage in a dialogue about how data are processed and associated privacy risks.,Data Processing Awareness (CM.AW-P),"Individuals and organizations have reliable knowledge about data processing practices and associated privacy risks, and effective mechanisms are used and maintained to increase predictability consistent with the organization’s risk strategy to protect individuals’ privacy.",CM.AW-P7,Impacted individuals and organizations are notified about a privacy breach or event.,"Develop and implement notification processes for individuals and organizations affected by a privacy breach or event, ensuring they have reliable knowledge about data processing practices and associated privacy risks. This aligns with the organization's risk strategy to protect individuals' privacy and enhances predictability and dialogue about data usage."
69,COMMUNICATE-P (CM-P),Develop and implement appropriate activities to enable organizations and individuals to have a reliable understanding and engage in a dialogue about how data are processed and associated privacy risks.,Data Processing Awareness (CM.AW-P),"Individuals and organizations have reliable knowledge about data processing practices and associated privacy risks, and effective mechanisms are used and maintained to increase predictability consistent with the organization’s risk strategy to protect individuals’ privacy.",CM.AW-P8,"Individuals are provided with mitigation mechanisms (e.g., credit monitoring, consent withdrawal, data alteration or deletion) to address impacts of problematic data actions.","Develop and implement mechanisms such as credit monitoring, consent withdrawal, data alteration, or deletion to mitigate the impacts of problematic data actions, ensuring that individuals and organizations have reliable knowledge about data processing practices and associated privacy risks. This supports the objective of fostering a reliable understanding and dialogue about data processing, aligning with the organization’s risk strategy to protect individuals’ privacy."
70,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Data Protection Policies, Processes, and Procedures (PR.PO-P)","Security and privacy policies (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment), processes, and procedures are maintained and used to manage the protection of data.",PR.PO-P1,"A baseline configuration of information technology is created and maintained incorporating security principles (e.g., concept of least functionality).","Establish and maintain a baseline configuration of information technology systems that integrates security principles, such as the concept of least functionality, to support the development and implementation of appropriate data processing safeguards. This is aligned with the security and privacy policies, processes, and procedures designed to manage the protection of data within the organization."
71,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Data Protection Policies, Processes, and Procedures (PR.PO-P)","Security and privacy policies (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment), processes, and procedures are maintained and used to manage the protection of data.",PR.PO-P2,Configuration change control processes are established and in place.,"Establish and maintain configuration change control processes to manage the protection of data, ensuring these processes are aligned with security and privacy policies, and support the development and implementation of appropriate data processing safeguards."
72,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Data Protection Policies, Processes, and Procedures (PR.PO-P)","Security and privacy policies (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment), processes, and procedures are maintained and used to manage the protection of data.",PR.PO-P3,"Backups of information are conducted, maintained, and tested.","Ensure the development and implementation of data processing safeguards include the regular backup, maintenance, and testing of information, as part of the security and privacy policies and procedures designed to protect data within the organization."
73,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Data Protection Policies, Processes, and Procedures (PR.PO-P)","Security and privacy policies (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment), processes, and procedures are maintained and used to manage the protection of data.",PR.PO-P4,Policy and regulations regarding the physical operating environment for organizational assets are met.,"Ensure organizational policies and regulations are established and adhered to for the physical operating environment of organizational assets, as part of developing and implementing data processing safeguards, in alignment with security and privacy policies that manage data protection."
74,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Data Protection Policies, Processes, and Procedures (PR.PO-P)","Security and privacy policies (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment), processes, and procedures are maintained and used to manage the protection of data.",PR.PO-P5,Protection processes are improved.,"Enhance protection processes to align with security and privacy policies, ensuring effective management of data protection within the scope of developing and implementing appropriate data processing safeguards."
75,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Data Protection Policies, Processes, and Procedures (PR.PO-P)","Security and privacy policies (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment), processes, and procedures are maintained and used to manage the protection of data.",PR.PO-P6,Effectiveness of protection technologies is shared.,"Ensure the effectiveness of protection technologies is actively shared and communicated within the organization to enhance the management and implementation of data processing safeguards, aligning with established security and privacy policies, processes, and procedures."
76,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Data Protection Policies, Processes, and Procedures (PR.PO-P)","Security and privacy policies (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment), processes, and procedures are maintained and used to manage the protection of data.",PR.PO-P7,"Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are established, in place, and managed.","Establish, maintain, and manage comprehensive Response and Recovery plans, including Incident Response, Business Continuity, Incident Recovery, and Disaster Recovery, to ensure robust data processing safeguards align with security and privacy policies, processes, and procedures for effective data protection management."
77,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Data Protection Policies, Processes, and Procedures (PR.PO-P)","Security and privacy policies (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment), processes, and procedures are maintained and used to manage the protection of data.",PR.PO-P8,Response and recovery plans are tested.,"Develop and implement data processing safeguards by maintaining and utilizing security and privacy policies, processes, and procedures to ensure that response and recovery plans are regularly tested and effective in managing the protection of data."
78,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Data Protection Policies, Processes, and Procedures (PR.PO-P)","Security and privacy policies (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment), processes, and procedures are maintained and used to manage the protection of data.",PR.PO-P9,"Privacy procedures are included in human resources practices (e.g., deprovisioning, personnel screening).","Integrate privacy procedures within human resources practices, such as deprovisioning and personnel screening, to uphold data processing safeguards, ensuring alignment with security and privacy policies that govern roles, responsibilities, and management commitment in the data processing ecosystem."
79,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Data Protection Policies, Processes, and Procedures (PR.PO-P)","Security and privacy policies (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment), processes, and procedures are maintained and used to manage the protection of data.",PR.PO-P10,A vulnerability management plan is developed and implemented.,"Develop and implement a vulnerability management plan as part of the security and privacy policies to ensure robust data processing safeguards, detailing purpose, scope, roles, responsibilities, and management commitment to protect data within the ecosystem."
80,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Identity Management, Authentication, and Access Control (PR.AC-P)","Access to data and devices is limited to authorized individuals, processes, and devices, and is managed consistent with the assessed risk of unauthorized access.",PR.AC-P1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized individuals, processes, and devices.","Ensure the issuance, management, verification, revocation, and auditing of identities and credentials for all authorized individuals, processes, and devices to limit access to data and devices consistent with the assessed risk of unauthorized access, thereby supporting the development and implementation of appropriate data processing safeguards."
81,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Identity Management, Authentication, and Access Control (PR.AC-P)","Access to data and devices is limited to authorized individuals, processes, and devices, and is managed consistent with the assessed risk of unauthorized access.",PR.AC-P2,Physical access to data and devices is managed.,"Ensure physical access to data and devices is restricted and managed to limit access to authorized individuals, processes, and devices, in alignment with the assessed risk of unauthorized access, as part of developing and implementing appropriate data processing safeguards."
82,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Identity Management, Authentication, and Access Control (PR.AC-P)","Access to data and devices is limited to authorized individuals, processes, and devices, and is managed consistent with the assessed risk of unauthorized access.",PR.AC-P3,Remote access is managed.,"Ensure that remote access to data and devices is restricted and controlled based on authorization levels and assessed risks to prevent unauthorized access, in alignment with the objective to develop and implement appropriate data processing safeguards."
83,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Identity Management, Authentication, and Access Control (PR.AC-P)","Access to data and devices is limited to authorized individuals, processes, and devices, and is managed consistent with the assessed risk of unauthorized access.",PR.AC-P4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties.","Implement management of access permissions and authorizations by applying the principles of least privilege and separation of duties to limit access to data and devices to authorized individuals, processes, and devices, in alignment with the assessed risk of unauthorized access, as part of developing and implementing appropriate data processing safeguards."
84,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Identity Management, Authentication, and Access Control (PR.AC-P)","Access to data and devices is limited to authorized individuals, processes, and devices, and is managed consistent with the assessed risk of unauthorized access.",PR.AC-P5,"Network integrity is protected (e.g., network segregation, network segmentation).","Ensure network integrity by implementing network segregation and segmentation to limit access to data and devices to authorized individuals, processes, and devices, thereby managing the risk of unauthorized access as part of developing and implementing appropriate data processing safeguards."
85,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,"Identity Management, Authentication, and Access Control (PR.AC-P)","Access to data and devices is limited to authorized individuals, processes, and devices, and is managed consistent with the assessed risk of unauthorized access.",PR.AC-P6,"Individuals and devices are proofed and bound to credentials, and authenticated commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks).","Ensure that individuals and devices are rigorously proofed and securely bound to credentials, with authentication levels tailored to match the risk associated with the transaction. This includes evaluating the security and privacy risks to individuals, as well as other organizational risks, to develop and implement robust data processing safeguards. Access to data and devices must be strictly limited to authorized individuals, processes, and devices, managed in accordance with the assessed risk of unauthorized access."
86,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,Data Security (PR.DS-P),"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy and maintain data confidentiality, integrity, and availability.",PR.DS-P1,Data-at-rest are protected.,"Ensure that data-at-rest are protected to align with the organization's risk strategy, thereby safeguarding individuals' privacy and ensuring the confidentiality, integrity, and availability of data, as part of developing and implementing appropriate data processing safeguards."
87,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,Data Security (PR.DS-P),"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy and maintain data confidentiality, integrity, and availability.",PR.DS-P2,Data-in-transit are protected.,"Ensure data-in-transit is protected to align with the organization's risk strategy, thereby upholding the confidentiality, integrity, and availability of data as part of developing and implementing appropriate data processing safeguards."
88,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,Data Security (PR.DS-P),"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy and maintain data confidentiality, integrity, and availability.",PR.DS-P3,"Systems/products/services and associated data are formally managed throughout removal, transfers, and disposition.","Ensure the formal management of systems, products, and services, along with their associated data, throughout their removal, transfer, and disposition processes to align with the organization's risk strategy, thereby protecting individuals' privacy and maintaining data confidentiality, integrity, and availability as part of developing and implementing appropriate data processing safeguards."
89,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,Data Security (PR.DS-P),"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy and maintain data confidentiality, integrity, and availability.",PR.DS-P4,Adequate capacity to ensure availability is maintained.,"Ensure the organization has the necessary capacity to maintain data availability, as part of implementing data processing safeguards, in alignment with the organization's risk strategy to uphold privacy, and ensure data confidentiality, integrity, and availability."
90,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,Data Security (PR.DS-P),"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy and maintain data confidentiality, integrity, and availability.",PR.DS-P5,Protections against data leaks are implemented.,"Implement data leak protections to align with the organization's risk strategy, ensuring the confidentiality, integrity, and availability of data, thereby safeguarding individual privacy as part of developing and enforcing appropriate data processing safeguards."
91,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,Data Security (PR.DS-P),"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy and maintain data confidentiality, integrity, and availability.",PR.DS-P6,"Integrity checking mechanisms are used to verify software, firmware, and information integrity.","Implement integrity checking mechanisms to verify the integrity of software, firmware, and information, ensuring data management aligns with the organization's risk strategy to protect individuals' privacy and uphold data confidentiality, integrity, and availability, as part of developing and implementing appropriate data processing safeguards."
92,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,Data Security (PR.DS-P),"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy and maintain data confidentiality, integrity, and availability.",PR.DS-P7,The development and testing environment(s) are separate from the production environment.,"Ensure that development and testing environments are segregated from the production environment to uphold data confidentiality, integrity, and availability in alignment with the organization's risk strategy, thereby protecting individuals' privacy as part of implementing appropriate data processing safeguards."
93,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,Data Security (PR.DS-P),"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy and maintain data confidentiality, integrity, and availability.",PR.DS-P8,Integrity checking mechanisms are used to verify hardware integrity.,"Implement integrity checking mechanisms to ensure hardware integrity, thereby supporting the organization's data processing safeguards that align with its risk strategy to protect privacy and maintain data confidentiality, integrity, and availability."
94,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,Maintenance (PR.MA-P),"System maintenance and repairs are performed consistent with policies, processes, and procedures.",PR.MA-P1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools.","Ensure that the maintenance and repair of organizational assets are conducted using approved and controlled tools, and that all such activities are accurately logged, in alignment with established policies, processes, and procedures to support the safeguarding of data processing."
95,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,Maintenance (PR.MA-P),"System maintenance and repairs are performed consistent with policies, processes, and procedures.",PR.MA-P2,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access.","Ensure that remote maintenance of organizational assets is formally approved, meticulously logged, and conducted securely to prevent unauthorized access, in alignment with established policies, processes, and procedures to uphold data processing safeguards."
96,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,Protective Technology (PR.PT-P),"Technical security solutions are managed to ensure the security and resilience of systems/products/services and associated data, consistent with related policies, processes, procedures, and agreements.",PR.PT-P1,Removable media is protected and its use restricted according to policy.,"Ensure the protection and restricted use of removable media through defined policies, as part of the technical security solutions managed to enhance the security and resilience of systems, products, and services, aligning with organizational policies, processes, procedures, and agreements to support the development and implementation of appropriate data processing safeguards."
97,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,Protective Technology (PR.PT-P),"Technical security solutions are managed to ensure the security and resilience of systems/products/services and associated data, consistent with related policies, processes, procedures, and agreements.",PR.PT-P2,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities.,"Implement system configurations that enforce the principle of least functionality, ensuring that systems, products, and services operate with only the necessary capabilities required for their intended function. This control supports the safeguarding of data by aligning with security policies, processes, procedures, and agreements to maintain the security and resilience of systems and associated data."
98,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,Protective Technology (PR.PT-P),"Technical security solutions are managed to ensure the security and resilience of systems/products/services and associated data, consistent with related policies, processes, procedures, and agreements.",PR.PT-P3,Communications and control networks are protected.,"Ensure that communications and control networks are secured to maintain the integrity and resilience of systems, products, and services, as well as the protection of associated data, in alignment with organizational policies, processes, procedures, and agreements, thereby supporting the development and implementation of necessary data processing safeguards."
99,PROTECT-P (PR-P),Develop and implement appropriate data processing safeguards.,Protective Technology (PR.PT-P),"Technical security solutions are managed to ensure the security and resilience of systems/products/services and associated data, consistent with related policies, processes, procedures, and agreements.",PR.PT-P4,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations.","Implement mechanisms such as failsafe, load balancing, and hot swap to ensure the resilience of systems, products, and services in both normal and adverse situations, thereby upholding the security and resilience of associated data in alignment with relevant policies, processes, procedures, and agreements."
